name, area_list, description, url, category, tags_list, address, access, business_hours, regular_holidays, tarif, phone_no, if_reservation_needed
那須どうぶつ王国,'関東'  '栃木県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0309s14684/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    栃木県那須郡那須町大字大島1042-1[地図],    【電車】JR黒磯駅よりタクシー利用で約30分 【車】東京方面から車で行く場合は東北自動車道 那須ICより約30分、仙台方面から車で向かう場合は東北自動車道白河ICから約20分,    平日 10:00～16:30、土・日・祝 9:00～17:00、季節によって異なる。12月上旬～2月下旬は冬期期間 10:00～16:00、冬期は王国タウンエリアのみ営業,    水曜(春休み、GW、夏休み、祝日は営業)。12月上旬～2月下旬冬季休園あり,有料。 入園料 大人(中学生以上)2400円、子供(3歳～小学生)1000円。冬季期間は、大人1400円、子供700円。年間パスポート 大人(中学生以上)8000円、子供(3歳～小学生)3000円、購入から1年有効, 0287-77-1110,
東海大学海洋科学博物館,'東海'  '静岡県',サメやエイが泳ぐ巨大水槽に感動,https://www.walkerplus.com/spot/ar0622s16374/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県静岡市清水区三保2389[地図],    【電車】JR清水駅からバスで東海大学三保水族館下車、徒歩1分 【車】東名高速道路静岡ICまたは清水ICから約30分,    9:00～17:00、最終入館16:30,    火曜(祝日、正月、春休み、GW、7・8月など繁忙期は営業)、年末(12月25日～31日),有料。 入館料 大人1500円、4歳～中学生。共通券(海洋・自然史) 大人1800円、4歳～中学生。, 054-334-2385,
ともいきの国 伊勢忍者キングダム,'東海'  '三重県'  '二見浦駅(三重県)',安土桃山時代にタイムスリップ,https://www.walkerplus.com/spot/ar0624s03720/    ,遊ぶ,'テーマパーク・アミューズメントパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    三重県伊勢市二見町三津1201-1[地図],    【電車】JR二見浦駅から徒歩15分 【車】伊勢二見鳥羽ライン二見出口から約1分,    9:00～17:00    準天然温泉 安土城下の湯 平日14:00～22:00 (最終受付21:00)、土日祝12:00〜22:00 (最終受付21:00),    なし,有料。 通行手形(お芝居、アスレチック、リアルRPG、温泉など) 大人(18歳以上)4900円、中人(中高生)3500円、小人(小学生)3000円、シニア3430円、未就学児無料。安土城下の湯のみの利用 大人750円、中高550円、小人400円(土日祝は+100円)、未就学児無料、三重県民の日などあり, 0596-43-2300,
串本海中公園,'関西'  '和歌山県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0730s16386/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    和歌山県東牟婁郡串本町有田1157[地図],    【電車】JR串本駅から無料シャトルバスで約13分 【車】紀勢自動車道すさみ南ICから約20分,    通常営業 9:00～16:30(最終入館16:00),    なし,有料。 水族館と海中展望塔 大人1800円、小中学生800円、3歳以上小学生未満200円、2歳以下無料。水族館、海中展望塔と観光船 大人2600円、小中学生1400円、3歳以上小学生未満200円、2歳以下無料。水族館のみの入場券 大人1500円、小中学生700円、3歳以上小学生未満200円、2歳以下無料, 0735-62-1122,
まかいの牧場,'東海'  '静岡県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0622s07591/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県富士宮市内野1327[地図],    【車】東名高速道路富士ICまたは新東名高速道路新富士ICから約30分。中央自動車道河口湖ICから約40分(国道139号経由)または甲府南ICから約50分(精進湖道路・国道139号経由),    9:30～17:30。冬期(11月21日～3月20日)9:30～16:30,    12月1日～3月20日の水・木曜日(不定休有)    詳細は公式サイト参照,有料。 入場料 3月20日～11月30日 大人(中学生以上)800円、小人(3歳以上)500円。12月1日～3月19日 大人(中学生以上)600円、小人(3歳以上)300円。クレジットカードは売店のみ対応, 0544-54-0342,
海遊館,'関西'  '大阪府'  '大阪港駅(大阪府)'  '桜島駅(大阪府)',約3万点の生き物が棲む世界最大級の水族館,https://www.walkerplus.com/spot/ar0727s03770/    ,遊ぶ,'水族館・アクアリウム'  '屋内アミューズメント施設'  '子供と'  '恋人と・夫婦で'  '友達と',    大阪府大阪市港区海岸通1-1-10[地図],    【電車】Osaka Metro大阪港駅から徒歩5分 【車】阪神高速道路天保山出入口から約5分,    10:00〜20:00(入館は閉館の1時間前まで)    変動あり,    不定休    詳細は公式サイト参照,有料。 入館料 大人(高校生・16歳以上)2400円、子供(小中学生)1200円、幼児(3歳以上)600円、シニア(65歳以上・要証明書提示)2200円, 06-6576-5501 海遊館インフォメーション,
新屋島水族館,'四国'  '香川県',珍しいマナティなど癒し系の生き物がいっぱい,https://www.walkerplus.com/spot/ar0937s16394/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    香川県高松市屋島東町1785-1[地図],    【電車】高松琴平電鉄志度線琴電屋島駅からことでんバス屋島山上行きで約18分、終点下車徒歩8分 【車】高松自動車道高松中央ICから約30分,    9:00～17:00 最終入館16:30,    なし    台風・大雨・大雪により臨時休業の場合あり,有料。 入館料 大人(高校生～)1200円、小中学生700円、幼児(3歳～未就学児)500円、2歳以下無料、障がい者手帳持参者無料, 087-841-2678,
鳥羽水族館,'東海'  '三重県'  '中之郷駅(三重県)'  '鳥羽駅(三重県)',混雑する時間の目安,https://www.walkerplus.com/spot/ar0624s03767/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    三重県鳥羽市鳥羽3-3-6[地図],    【電車】JR・近畿日本鉄道鳥羽駅から徒歩10分 【車】伊勢自動車道伊勢ICから伊勢二見鳥羽ラインを経由して約15分,    9:00～17:00 最終入館16:00。夏季営業8:30～17:30 最終入館。GW(2021年5月2日(日)～5月4日(火))9:00〜17:30    都合によりを変更する場合あり,    年中無休,有料。 入館料 大人2500円、小人(小・中学生)1300円、幼児(3歳以上)600円、シニア割引(65歳以上)2200円。年間パスポート 大人6500円、小・中学生3500円、幼児1500円。団体割引、障害者割引あり, 0599-25-2555 鳥羽水族館,
妙高サンシャインランド,'甲信越'  '新潟県',大観覧車から一望する信州の山並みに感動,https://www.walkerplus.com/spot/ar0415s14594/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    新潟県上越市中郷区江口846-1 松ケ峯温泉[地図],    【電車】えちごトキめき鉄道関山駅からタクシーで約5分 【車】上信越自動車道中郷ICから約5分,    平日10:00～16:00。土・日・祝日・7月22日～8月15日 9:00～17:00。最終入園は閉園30分前まで    季節により時間変更の場合あり。,    火、木曜の平日(夏休み期間7月26日～8月19日の火・木を除く),有料。 入園料 大人(中学生以上)600円、子供(3歳～小学生)及びシニア(65歳以上)400円、2歳以下無料。にこにこ券(入園＋乗り物券2000円分) 大人(中学生以上)2300円、子供(3歳～小学生)及びシニア(65歳以上)2100円。 フリーパス券(入園＋乗り物乗り放題) 大人(中学生以上)3500円、子供(3歳～小学生)及びシニア(65歳以上)2900円, 0255-74-2421,
さがみ湖リゾート プレジャーフォレスト,'関東'  '神奈川県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s14593/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    神奈川県相模原市緑区若柳1634[地図],    【電車】JR相模湖駅からバスでプレジャーフォレスト前下車すぐ 【車】(東京方面)中央自動車道相模湖東出口から7分、(甲府方面)中央自動車道相模湖ICから10分、(横浜方面)首都圏中央自動車相模原ICから15分,    平日10:00～16:00、土日祝9:00～17:00    季節により変動あり,    木曜,有料。 入園券:大人(中学生以上) 1800円、小人(3歳～小学生)及びシニア(60歳以上)1100円、 ペット(犬) 1100円。フリーパス(入園料＋乗り物乗り放題)大人(中学生以上) 4300円。小人(3歳～小学生)及びシニア(60歳以上) 3500円, 0570-037-353,
赤穂海浜公園タテホわくわくランド,'関西'  '兵庫県',塩田跡地に造られた公園内の遊園地,https://www.walkerplus.com/spot/ar0728s14609/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    兵庫県赤穂市御崎1857-5[地図],    【電車】JR播州赤穂駅からバスで明神木(平日)下車徒歩15分、または赤穂海浜公園前(土・日・祝)下車すぐ 【車】山陽自動車道赤穂ICから約10分,    平日10:00～15:00、土・日・祝10:00～17:00、11月上旬～3月中旬の土・日・祝10:00～16:00,    火・水・木曜。年末年始(12月29日～1月1日)、12月～2月の平日    雨天、荒天等による臨時休業あり。 季節により休業する遊戯施設あり。詳細は要問合せ,入場無料。 遊具によって料金異なる(1回100円～)。のりもの券利用。一部、現金利用可, 0791-45-0800,
伊豆シャボテン動物公園,'東海'  '静岡県',動物たちと間近に触れ合うサボテンと動物のテーマパーク,https://www.walkerplus.com/spot/ar0622s44897/    ,遊ぶ,'公園'  '動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県伊東市富戸1317-13[地図],    【電車】JR伊東駅から東海バスのシャボテン公園行きで約35分。または伊豆急行線伊豆高原駅から東海バスのシャボテン公園行きで約20分【車】東名高速道路厚木ICから約100分(小田原厚木道路、国道135号線経由で約85キロ)。沼津ICまたは長泉沼津ICから約60分(伊豆縦貫自動車道、伊豆中央道、修善寺道路経由で約55キロ),    9:30〜17:00(季節によって変更あり),    なし,有料。 入園料 大人(中学生以上)2400円、小学生1200円、幼児(4歳以上)400円、シニア割引料金(70歳以上)2000円 ※クレジットカードは森のどうぶつレストランGIBBONTEIとGIFTSHOPアニマルマートのみ使用可, 0557-51-1111,
IPCわんわん動物園,'東海'  '愛知県'  '男川駅(愛知県)',犬と触れ合えるテーマパーク,https://www.walkerplus.com/spot/ar0623s04633/    ,遊ぶ,'動物園・サファリパーク'  '屋内アミューズメント施設'  '子供と'  '恋人と・夫婦で'  '友達と',    愛知県岡崎市大平町川田46-1[地図],    【電車】名古屋鉄道男川駅から徒歩7分 【車】東名高速道路岡崎ICから約3分,    10:00～17:00。こいぬこねこ館は10:00～19:30,    公式サイトで要確認。こいぬこねこ館は年中無休,有料。 入場料 大人(中学生以上)1280円、小人(4歳以上)640円 ※4歳未満、犬は無料, 0564-26-3884,
あだみね高原ファーム,'関西'  '奈良県',様々な楽しみ方ができる観光農園,https://www.walkerplus.com/spot/ar0729s187871/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    奈良県五條市大野新田町243[地図],    【電車】近畿日本鉄道吉野線福神駅から徒歩25分 【車】京奈和自動車道五條北ICから約5分,    10:00～16:00,    月曜(祝日の場合翌日),有料。 【バーベキュー】大人(中学生以上) 1000円 小学生 500円 3歳以上 300円 食材は各自で持ち込み、レンタル用品・販売用品あり。バーベキューコンロは持ち込み不可。【いちご狩り】大人(中学生以上) 1900円 小学生 1500円 3歳以上 800円。その他の料金詳細は公式サイト参照, 080-2407-2217,要予約 いちご狩りの予約は来園前日までに電話または公式サイトのお問い合わせフォームから予約
伊豆アニマルキングダム,'東海'  '静岡県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0622s14707/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県賀茂郡東伊豆町稲取3344[地図],    【電車】伊豆急行伊豆稲取駅から東海バス伊豆アニマルキングダム行きで約10分、終点下車すぐ 【車】東名高速道路厚木ICから約2時間40分。または東名高速道路沼津IC、新東名高速道路長泉沼津ICから約2時間,    9:30～17:00 最終受付15:00,    2021年6月15日(火)～17日(木)、12月7日(火)～9日(木),有料。 入園料 大人2500円、子供(4歳以上)1250円、シルバー(65歳以上)2400円。年間パスポート 大人6000円、4歳～小学生3000円, 0557-95-3535,
阿蘇カドリー・ドミニオン,'九州'  '熊本県',混雑する時間の目安,https://www.walkerplus.com/spot/ar1043s03813/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    熊本県阿蘇市黒川2163[地図],    【電車】JR阿蘇駅からタクシーで約3分 【車】九州自動車道熊本ICから約55分,    9:30～17:00 (土日祝は17:30まで)    2021年10 月中旬～2022年3月中旬は10:00～16:30,    12～2月の水曜(冬休みと祝日は除く),有料。 入園料 大人(高校生以上)2400円、子供(小・中学生)1300円、幼児(3歳以上)700円。15名以上で団体割引あり。年間入園パスポート 大人(高校生以上)6000円、子供(小・中学生)3000円、幼児(3歳以上)1500円, 0967-34-2020 阿蘇カドリー・ドミニオン(代),
みどり農園,'関西'  '京都府',豊富な種類の味覚狩りとホタルの観察会が楽しめる,https://www.walkerplus.com/spot/ar0726s58917/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  'いちご狩り',    京都府綴喜郡井手町多賀小払1[地図],    【電車】JR山城多賀駅から徒歩15分 【車】京奈和自動車道田辺西ICから約15分,    平日 10:00～16:00(最終入場14:00)    土日祝 10:00～17:00(最終入場15:00),    7月～8月上旬は休園,有料。 季節・コースによって異なる。詳細は公式サイト参照。, 0774-82-2654,要予約 電話で受付。キャンセルの場合は当日7:30までに要連絡
三木ホースランドパーク,'関西'  '兵庫県',自然の中で馬と触れ合える,https://www.walkerplus.com/spot/ar0728s07598/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    兵庫県三木市別所町高木[地図],    【電車】神戸電鉄三木駅からタクシーで約10分。神戸電鉄恵比須駅から神姫バスで三木ホースランドパーク馬事センター前停留所下車すぐ(土･日) 【車】山陽自動車道三木小野ICから約10分(国道175号経由),    3～10月9:00～17:00、11～2月9:00～16:00    エリアごとに異なる,    毎月第4月曜(祝日の場合は翌日)、年末年始(12月29日～1月3日)。エクウスの森は毎週月曜(祝日の場合は翌日),入場無料。, 0120-816-892,
五桂池ふるさと村,'東海'  '三重県',動物との触れ合いやアウトドア生活を堪能,https://www.walkerplus.com/spot/ar0624s37897/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    三重県多気郡多気町五桂956[地図],    【電車】JR佐奈駅から徒歩30分 【車】伊勢自動車道勢和多気ICから約15分,    10:00～16:00    施設により異なる,    第2火曜(8月中は除く)、1月1日,対応可。, 0598-39-3860 ふるさと村事務所,要予約 ロッヂ、バーベキュー利用時
森とリスの遊園地 メルヘン村,'九州'  '佐賀県',混雑する時間の目安,https://www.walkerplus.com/spot/ar1041s14619/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    佐賀県武雄市西川登町大字神六20040[地図],    【電車】JR武雄温泉駅からJRバス嬉野温泉行きに乗り14分、日の出城下車徒歩20分 【車】長崎自動車道嬉野ICから約4分,    9:30～17:00 (最終入場16:00),    なし    (天候により臨時休園あり),有料。 入場料 大人(高校生以上)1100円、 小人(3歳以上中学生まで)700円、シニア(60歳以上)880円、2歳以下無料, 0954-28-2835,
わくわく海中水族館シードーナツ,'九州'  '熊本県',海に浮かぶ水族館「シードーナツ」,https://www.walkerplus.com/spot/ar1043s16402/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    熊本県上天草市松島町合津6225-7[地図],    【電車】JR熊本駅から九州産交バス本渡行きに乗り約90分 前島下車すぐ 【車】九州自動車道松橋ICから約55分,    3月20日～10月31日9:00～18:00 最終入館17:00。11月1日～3月19日9:00～17:00 最終入館16:00。ナイト水族館(開催日等の詳細は公式サイト参照)19:00～21:00,    なし,有料。 入館料 大人1300円、小中学生800円、幼児(4歳以上)400円、3歳以下無料。ナイト水族館 大人1000円、小中学生500円、幼児(4歳以上)300円。, 0969-56-1155,
果実の里 原田農園,'関東'  '群馬県',果物や野菜など1年間を通して味覚狩りが楽しめる,https://www.walkerplus.com/spot/ar0310s151474/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    群馬県沼田市横塚町1294[地図],    【電車】JR沼田駅からバスで約15分 【車】関越自動車道沼田ICから約2分,    9:00～17:00 ※冬季(12～3月)9:00～16:30,    なし,いちご狩り: 2020年11月中旬～2021年1月5日:大人(小学生含む)1800円、小人(3歳～未就学児)1500円。1月6日～3月31日:大人1500円、小人1200円。4月1日～5月10日:大人1200円、小人900円。5月11日～6月上旬:大人1000円、小人700円 ※幼児(0歳～2歳)は入園無料、上記は税別料金。他の味覚狩りについては、公式サイト等をご確認ください, 0278-22-3991,要予約 果物・野菜狩りは事前予約が必要。入場制限を行う場合もあり
江戸ワンダーランド日光江戸村,'関東'  '栃木県',細部まで作り込まれた江戸の町が見事,https://www.walkerplus.com/spot/ar0309s03713/    ,遊ぶ,'テーマパーク・アミューズメントパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    栃木県日光市柄倉470-2[地図],    【電車】東武鉄道鬼怒川温泉駅からバスで日光江戸村下車すぐ 【車】東北自動車道宇都宮ICから約15分,    3月20日～11月30日9:00～17:00、12月1日～3月19日9:30～16:00,    水曜(祝日の場合営業)。GW、夏期、年末年始は営業。1月16日～31日は施設メンテナンス休村,有料。 一日手形 大人(中学生以上)4800円、小人(小学生)2500円、シニア(65歳以上・要証明書提示)3360円、未就学児無料 ※手裏剣・矢場などの遊技場は有料。午後手形 大人(中学生以上)4100円、小人(小学生)2100円、シニア(65歳以上)2870円、未就学児無料 ※14:00以降(冬期13:00以降)入村。手裏剣・矢場などの遊技場は有料, 0288-77-1777,
別府ラクテンチ,'九州'  '大分県',混雑する時間の目安,https://www.walkerplus.com/spot/ar1044s14616/    ,遊ぶ,'遊園地・レジャー施設'  '動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    大分県別府市流川通り18[地図],    【電車】JR別府駅から亀の井バス(ラクテンチ経由鉄輪行き、約10分)でラクテンチ停留所下車すぐ 【車】大分自動車道別府ICから約10分,    9:30～17:00    季節天候により変動あり。要問合せ,    火曜    季節により火曜、水曜。要問い合わせ,有料。 メインゲート 大人(中学生以上)1300円、小人(3歳～小学生)600円、シニア(65歳以上)900円 ※ケーブルカー往復乗車券付。乙原ゲート 大人(中学生以上)1100円、小人(3歳～小学生)500円、シニア(65歳以上)700円、2歳以下無料 ※20名以上で団体割引あり, 0977-85-8888,
京急油壺マリンパーク,'関東'  '神奈川県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s16346/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    神奈川県三浦市三崎町小網代1082[地図],    【電車】京急電鉄三崎口駅から京急バスで京急油壺マリンパーク停留所下車、徒歩すぐ ※時季により変更あり 【車】横浜横須賀道路衣笠IC経由三浦縦貫道路林ICから約20分,    9:00～17:00 (最終入園は、閉館時間30分前)    ※季節により変更あり,    2021年9月30日(木)閉館,有料。 入園料 大人1800円、中学生1300円、小学生900円、幼児(3歳以上)500円、ペット(要手続き)500円, 046-880-0152,
那須高原りんどう湖ファミリー牧場,'関東'  '栃木県',動物たちと各種乗り物をそろえたレジャー施設,https://www.walkerplus.com/spot/ar0309s07574/    ,遊ぶ,'遊園地・レジャー施設'  '牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    栃木県那須郡那須町高久丙414-2[地図],    【電車】JR黒磯駅から車で約20分、那須塩原駅から車で約30分 【車】東北自動車道那須ICから約10分,    9:30～17:00    季節によって変動,,有料。 入園料 大人(中学生以上)1600円、小人(3歳～小学生)800円、幼児(3歳未満)無料、シニア(60歳以上)1100円, 0287-76-3111,
南知多ビーチランド＆南知多おもちゃ王国,'東海'  '愛知県'  '知多奥田駅(愛知県)',体験型水族館とおもちゃ王国併設の総合レジャー施設,https://www.walkerplus.com/spot/ar0623s03763/    ,遊ぶ,'水族館・アクアリウム'  '遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    愛知県知多郡美浜町奥田428-1[地図],    【電車】名古屋鉄道知多奥田駅から徒歩15分 【車】南知多道路美浜ICから約10分,    3～10月9:30～17:00、11月9:30～16:30、12〜2月10:00～16:00    変更の場合あり。来園前に公式サイト要確認。,    12～2月の水曜(冬休みを除く)。12月上旬と2月上旬にメンテナンス休園あり,有料。 入園料 大人(高校生以上)1800円、子供(2歳以上)800円。年間パスポート 大人(高校生以上)4000円、子供(2歳以上)2000円, 0569-87-2000 南知多ビーチランド,
はびろ農業公園 みはらしファーム,'甲信越'  '長野県',味覚狩りや様々な手作り体験が可能,https://www.walkerplus.com/spot/ar0420s36807/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    西箕輪3416-1[地図],    【電車】JR伊那市駅からタクシーで約15分 【車】中央自動車道伊那ICから約5分,    みはらしファーム公園事務所(やってみらっし) 9:00～17:00    施設により異なるため要問合せ,    施設により異なるため要問合せ,入場無料。 いちごの摘み取り:1月 小学生以上1700円、3歳～小学生未満1000円。2月～3月 小学生以上1500円、3歳～小学生未満1000円。4月～5月10日(日) 小学生以上1300円、3歳～小学生未満800円。5月11日(火)～終了 小学生以上1000円、3歳～小学生未満800円。 3歳未満は無料(但し、摘み取りパックはつかない)。2021年のみ平日1割引き(他割引券やクーポンとの併用不可)。その他の体験料や味覚狩りなどはプログラムにより異なる。公式サイト参照, 0265-74-1807 公園事務所,要予約 収穫体験、その他手作り体験などは要予約
リサとガスパールタウン,'甲信越'  '山梨県'  '富士急ハイランド駅(山梨県)',混雑する時間の目安,https://www.walkerplus.com/spot/ar0419s311246/    ,遊ぶ,'テーマパーク・アミューズメントパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    山梨県富士吉田市新西原5-6-1[地図],    【電車】富士急行線富士急ハイランド駅からすぐ 【車】中央自動車道河口湖ICまたは東富士五湖道路富士吉田ICからすぐ,    8:30～17:30    ※季節により異なる ※富士急ハイランドの開園30分前～閉園30分後【変更中】※公式サイトで要確認,    不定休(詳細は公式サイト参照),入場無料。 アトラクションは別途有料, 0555-23-2111 (富士急ハイランド),
成田ゆめ牧場,'関東'  '千葉県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0312s07580/    ,遊ぶ,'牧場・乗馬施設'  '観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    千葉県成田市名木730-3[地図],    【電車】JR滑河駅から無料送迎バスで約10分 【車】首都圏中央連絡自動車道下総ICから約2分,    平日9:30～16:30、休日9:30〜17:00 ※最終入場は閉園の1時間前    ゴールデンウィークや冬期(12～2月)など季節によりの変動あり。詳細は要問合せ,    なし,有料。 入場料 大人(中学生以上)1450円、子供(3歳～小学生)700円、シニア(65歳以上)1250円、3歳未満無料、大型犬1500円、中小型犬1000円, 0476-96-1001,
館ヶ森アーク牧場,'東北'  '岩手県',動物との触れ合いやこだわりの食を楽しむ,https://www.walkerplus.com/spot/ar0203s07601/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    岩手県一関市藤沢町黄海字衣井沢山9-15[地図],    【電車】JR花泉駅から車で約20分 【車】東北自動車道若柳金成ICから約35分または一関ICから約45分,    10:00～18:00。1～3月は10:00～17:00,    なし,有料。 大人800円、4歳～小学生400円、3歳以下及び障害者(要証明書提示)は無料。花盛りの時期は別途料金(公式サイト参照), 0191-63-5100,
ブラジリアンパーク鷲羽山ハイランド,'中国'  '岡山県',ブラジルのサンバや絶叫アトラクションに大興奮,https://www.walkerplus.com/spot/ar0833s14612/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    岡山県倉敷市下津井吹上303-1[地図],    【電車】JR児島駅からバスで鷲羽山ハイランド遊園地前停留所下車すぐ 【車】瀬戸中央自動車道児島ICから約1分,    10:00～17:00    曜日、季節によって異なる。春休み、GW、夏休み、冬休みはナイター営業あり,    なし,有料。 入園+フリーパスポート 大人(中学生以上)3800円、小人(小学生)3200円、幼児(3才以上)及びシニア(55才以上・要証明書提示)2500円。60才以上は桃太郎ふれあいカード作成で永久に無料(カード作成費2000円、要身分証明書提示)。トワイライトパス(春休み・GW・夏休み等の営業時間延長時) 一律2500円。年間パスポート 大人(中学生以上)7500円、小人(小学生)6000円、幼児(3才以上)及びシニア(55才以上、要証明書提示)4500円, 086-473-5111,
平田観光農園,'中国'  '広島県',体験メニューが充実する観光農園,https://www.walkerplus.com/spot/ar0834s38181/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    広島県三次市上田町1740-3[地図],    【電車】JR三次駅からタクシーに乗り約25分 【車】中国自動車道三次ICから約20分,    3～11月10:00～17:00、12～2月10:00～15:00,    3～11月は無休、12～2月は木・金曜,【いちごディスカバリー】20分食べ放題＋フルーツピザ作りコース:小学生以上2500円、小学生未満無料。1パックのお土産摘み取り＋noqoo DELIのいちごパフェセットコース:小学生以上2500円、小学生未満無料。4パックのお土産摘み取り＋ケーキ作りコース:1グループ5400円(1グループ最大4名まで、幼児以下は人数に含まない) ※すべて税抜価格, 0824-69-2346 フルーツの森 平田観光農園,要予約 「いちごディスカバリー」は完全予約制
きしかん(旧・岸和田観光農園),'関西'  '大阪府',ジューシーで甘味のある水ナスといちごを栽培,https://www.walkerplus.com/spot/ar0727s37925/    ,遊ぶ,'観光農園'  'バーベキュー場'  '子供と'  '恋人と・夫婦で'  '友達と',    大阪府岸和田市内畑町5068[地図],    【電車】南海電鉄岸和田駅から南海ウィングバス白原車庫行に乗り約35分 終点下車徒歩10分 【車】阪和自動車道貝塚ICから約14分,    9:00～17:00    いちご狩り:1部開園11:00～16:00、2部開園12:00～16:00。BBQ:11:00～16:00,    月曜,有料。 食材付きBBQ:大人(中学生以上)2000円、小学生1500円。持ち込みBBQ:大人1300円、小学生800円。どちらのプランも未就学児無料。味覚狩りとのセットプランあり, 072-479-2256 (月曜を除く9:00～17:00),要予約 予約フォームまたは電話で予約
農マル園芸 吉備路農園,'中国'  '岡山県',味覚狩りやアウトドアが楽しめる岡山県内最大級の観光農園,https://www.walkerplus.com/spot/ar0833s189379/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    岡山県総社市西郡411-1[地図],    【電車】JR東総社駅からタクシーで約7分、JR総社駅からタクシーで約10分 【車】山陽自動車道倉敷ICから総社方面へ国道429号経由で約7分,    1月・2月9:00～17:00、3月以降9:00～18:00    いちご狩りは9:00～16:00、赤いいちごがなくなり次第終了,    1月1日(祝),入場無料。 味覚狩り・体験プログラムはコースにより料金が異なる, 0866-94-6755 (受付9:00～17:00),
農マル園芸 あかいわ農園,'中国'  '岡山県',いちご狩りをはじめ、ドッグランやバーベキューも楽しめる観光農園,https://www.walkerplus.com/spot/ar0833s226443/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と', 〒709-0817 岡山県赤磐市上市１７５−１,    【電車】JR瀬戸駅から宇野バスで下市下車、徒歩3分。JR瀬戸駅からタクシーで約15分 【車】山陽自動車道山陽ICから約5分,    店舗9:00～18:00。いちご狩り　9:00～16:00(最終受付)    ※但し赤い実がなくなり次第終了,    第1、第3火曜日はいちご狩りのみ休園    祝日の場合は翌平日,入場無料。 いちご狩り、バーベキュー、ドッグランは有料, 086-956-2211 (代表),要予約 一部当日受付あり
